supplier_id,supplier_name,category_id,category_name,product_id,product_name,product_unit_price,product_unit_stock,units_on_order,order_id,order_date,order_price,order_quantity,order_discount,customer_id,customer_country,shipper_id,shipper_name,shipped_date,freight,employee_id,employee_last_name,employee_first_name
8,"Specialty Biscuits, Ltd.",3,Confections,19,Teatime Chocolate Biscuits,9.2,25,0,10283,1996/8/16,7.3,18,0,LILAS,Venezuela,3,Federal Shipping,1996/8/23,84.81,3,Leverling,Janet
28,Gai pâturage,4,Dairy Products,60,Camembert Pierrot,34,19,0,10283,1996/8/16,27.2,35,0,LILAS,Venezuela,3,Federal Shipping,1996/8/23,84.81,3,Leverling,Janet
14,Formaggi Fortini s.r.l.,4,Dairy Products,72,Mozzarella di Giovanni,34.8,14,0,10283,1996/8/16,27.8,3,0,LILAS,Venezuela,3,Federal Shipping,1996/8/23,84.81,3,Leverling,Janet
11,Heli Süßwaren GmbH & Co. KG,3,Confections,27,Schoggi Schokolade,43.9,49,0,10284,1996/8/19,35.1,15,0.25,LEHMS,Germany,1,Speedy Express,1996/8/27,76.56,4,Peacock,Margaret
20,Leka Trading,2,Condiments,44,Gula Malacca,19.45,27,0,10284,1996/8/19,15.5,21,0,LEHMS,Germany,1,Speedy Express,1996/8/27,76.56,4,Peacock,Margaret
28,Gai pâturage,4,Dairy Products,60,Camembert Pierrot,34,19,0,10284,1996/8/19,27.2,20,0.25,LEHMS,Germany,1,Speedy Express,1996/8/27,76.56,4,Peacock,Margaret
16,Bigfoot Breweries,1,Beverages,67,Laughing Lumberjack Lager,14,52,0,10284,1996/8/19,11.2,5,0.25,LEHMS,Germany,1,Speedy Express,1996/8/27,76.56,4,Peacock,Margaret
8,"Specialty Biscuits, Ltd.",1,Beverages,1,Chai,18,39,0,10285,1996/8/20,14.4,45,0.2,QUICK,Germany,2,United Package,1996/8/26,76.83,1,Davolio,Nancy
19,New England Seafood Cannery,8,Seafood,40,Boston Crab Meat,18.4,123,0,10285,1996/8/20,14.7,40,0.2,QUICK,Germany,2,United Package,1996/8/26,76.83,1,Davolio,Nancy
24,"G'day, Mate",6,Meat/Poultry,53,Perth Pasties,32.8,0,0,10285,1996/8/20,26.2,36,0.2,QUICK,Germany,2,United Package,1996/8/26,76.83,1,Davolio,Nancy
16,Bigfoot Breweries,1,Beverages,35,Steeleye Stout,18,20,0,10286,1996/8/21,14.4,100,0,QUICK,Germany,3,Federal Shipping,1996/8/30,229.24,8,Callahan,Laura
29,Forêts d'érables,3,Confections,62,Tarte au sucre,49.3,17,0,10286,1996/8/21,39.4,40,0,QUICK,Germany,3,Federal Shipping,1996/8/30,229.24,8,Callahan,Laura
7,"Pavlova, Ltd.",3,Confections,16,Pavlova,17.45,29,0,10287,1996/8/22,13.9,40,0.15,RICAR,Brazil,3,Federal Shipping,1996/8/28,12.76,8,Callahan,Laura
16,Bigfoot Breweries,1,Beverages,34,Sasquatch Ale,14,111,0,10287,1996/8/22,11.2,20,0,RICAR,Brazil,3,Federal Shipping,1996/8/28,12.76,8,Callahan,Laura
21,Lyngbysild,8,Seafood,46,Spegesild,12,95,0,10287,1996/8/22,9.6,15,0.15,RICAR,Brazil,3,Federal Shipping,1996/8/28,12.76,8,Callahan,Laura
25,Ma Maison,6,Meat/Poultry,54,Tourtière,7.45,21,0,10288,1996/8/23,5.9,10,0.1,REGGC,Italy,1,Speedy Express,1996/9/3,7.45,4,Peacock,Margaret
8,"Specialty Biscuits, Ltd.",3,Confections,68,Scottish Longbreads,12.5,6,10,10288,1996/8/23,10,3,0.1,REGGC,Italy,1,Speedy Express,1996/9/3,7.45,4,Peacock,Margaret
1,Exotic Liquids,2,Condiments,3,Aniseed Syrup,10,13,70,10289,1996/8/26,8,30,0,BSBEV,UK,3,Federal Shipping,1996/8/28,22.77,7,King,Robert
12,Plutzer Lebensmittelgroßmärkte AG,5,Grains/Cereals,64,Wimmers gute Semmelknödel,33.25,22,80,10289,1996/8/26,26.6,9,0,BSBEV,UK,3,Federal Shipping,1996/8/28,22.77,7,King,Robert
2,New Orleans Cajun Delights,2,Condiments,5,Chef Anton's Gumbo Mix,21.35,0,0,10290,1996/8/27,17,20,0,COMMI,Brazil,1,Speedy Express,1996/9/3,79.7,8,Callahan,Laura
12,Plutzer Lebensmittelgroßmärkte AG,6,Meat/Poultry,29,Thüringer Rostbratwurst,123.79,0,0,10290,1996/8/27,99,15,0,COMMI,Brazil,1,Speedy Express,1996/9/3,79.7,8,Callahan,Laura
23,Karkki Oy,3,Confections,49,Maxilaku,20,10,60,10290,1996/8/27,16,15,0,COMMI,Brazil,1,Speedy Express,1996/9/3,79.7,8,Callahan,Laura
12,Plutzer Lebensmittelgroßmärkte AG,2,Condiments,77,Original Frankfurter grüne Soße,13,32,0,10290,1996/8/27,10.4,10,0,COMMI,Brazil,1,Speedy Express,1996/9/3,79.7,8,Callahan,Laura
6,Mayumi's,8,Seafood,13,Konbu,6,24,0,10291,1996/8/27,4.8,20,0.1,QUEDE,Brazil,2,United Package,1996/9/4,6.4,6,Suyama,Michael
20,Leka Trading,2,Condiments,44,Gula Malacca,19.45,27,0,10291,1996/8/27,15.5,24,0.1,QUEDE,Brazil,2,United Package,1996/9/4,6.4,6,Suyama,Michael
24,"G'day, Mate",7,Produce,51,Manjimup Dried Apples,53,20,0,10291,1996/8/27,42.4,2,0.1,QUEDE,Brazil,2,United Package,1996/9/4,6.4,6,Suyama,Michael
8,"Specialty Biscuits, Ltd.",3,Confections,20,Sir Rodney's Marmalade,81,40,0,10292,1996/8/28,64.8,20,0,TRADH,Brazil,2,United Package,1996/9/2,1.35,1,Davolio,Nancy
7,"Pavlova, Ltd.",8,Seafood,18,Carnarvon Tigers,62.5,42,0,10293,1996/8/29,50,12,0,TORTU,Mexico,3,Federal Shipping,1996/9/11,21.18,1,Davolio,Nancy
10,Refrescos Americanas LTDA,1,Beverages,24,Guaraná Fantástica,4.5,20,0,10293,1996/8/29,3.6,10,0,TORTU,Mexico,3,Federal Shipping,1996/9/11,21.18,1,Davolio,Nancy
7,"Pavlova, Ltd.",2,Condiments,63,Vegie-spread,43.9,24,0,10293,1996/8/29,35.1,5,0,TORTU,Mexico,3,Federal Shipping,1996/9/11,21.18,1,Davolio,Nancy
12,Plutzer Lebensmittelgroßmärkte AG,1,Beverages,75,Rhönbräu Klosterbier,7.75,125,0,10293,1996/8/29,6.2,6,0,TORTU,Mexico,3,Federal Shipping,1996/9/11,21.18,1,Davolio,Nancy
8,"Specialty Biscuits, Ltd.",1,Beverages,1,Chai,18,39,0,10294,1996/8/30,14.4,18,0,RATTC,USA,2,United Package,1996/9/5,147.26,4,Peacock,Margaret
7,"Pavlova, Ltd.",6,Meat/Poultry,17,Alice Mutton,39,0,0,10294,1996/8/30,31.2,15,0,RATTC,USA,2,United Package,1996/9/5,147.26,4,Peacock,Margaret
20,Leka Trading,1,Beverages,43,Ipoh Coffee,46,17,10,10294,1996/8/30,36.8,15,0,RATTC,USA,2,United Package,1996/9/5,147.26,4,Peacock,Margaret
28,Gai pâturage,4,Dairy Products,60,Camembert Pierrot,34,19,0,10294,1996/8/30,27.2,21,0,RATTC,USA,2,United Package,1996/9/5,147.26,4,Peacock,Margaret
12,Plutzer Lebensmittelgroßmärkte AG,1,Beverages,75,Rhönbräu Klosterbier,7.75,125,0,10294,1996/8/30,6.2,6,0,RATTC,USA,2,United Package,1996/9/5,147.26,4,Peacock,Margaret
26,Pasta Buttini s.r.l.,5,Grains/Cereals,56,Gnocchi di nonna Alice,38,21,10,10295,1996/9/2,30.4,4,0,VINET,France,2,United Package,1996/9/10,1.15,2,Fuller,Andrew
5,Cooperativa de Quesos 'Las Cabras',4,Dairy Products,11,Queso Cabrales,21,22,30,10296,1996/9/3,16.8,12,0,LILAS,Venezuela,1,Speedy Express,1996/9/11,0.12,6,Suyama,Michael
7,"Pavlova, Ltd.",3,Confections,16,Pavlova,17.45,29,0,10296,1996/9/3,13.9,30,0,LILAS,Venezuela,1,Speedy Express,1996/9/11,0.12,6,Suyama,Michael
15,Norske Meierier,4,Dairy Products,69,Gudbrandsdalsost,36,26,0,10296,1996/9/3,28.8,15,0,LILAS,Venezuela,1,Speedy Express,1996/9/11,0.12,6,Suyama,Michael
18,Aux joyeux ecclésiastiques,1,Beverages,39,Chartreuse verte,18,69,0,10297,1996/9/4,14.4,60,0,BLONP,France,2,United Package,1996/9/10,5.74,5,Buchanan,Steven
14,Formaggi Fortini s.r.l.,4,Dairy Products,72,Mozzarella di Giovanni,34.8,14,0,10297,1996/9/4,27.8,20,0,BLONP,France,2,United Package,1996/9/10,5.74,5,Buchanan,Steven
1,Exotic Liquids,1,Beverages,2,Chang,19,17,40,10298,1996/9/5,15.2,40,0,HUNGO,Ireland,2,United Package,1996/9/11,168.22,6,Suyama,Michael
17,Svensk Sjöföda AB,8,Seafood,36,Inlagd Sill,19,112,0,10298,1996/9/5,15.2,40,0.25,HUNGO,Ireland,2,United Package,1996/9/11,168.22,6,Suyama,Michael
